rfq_id,match_id,similarity_score
8aff426d-b8c0-43aa-ad26-835ef4de6129,2624655e-ea07-468a-8da8-2e39c9d1e7f0,0.582428
8aff426d-b8c0-43aa-ad26-835ef4de6129,ee5c62d7-b0f9-4818-8698-425ffdcdb11a,0.581871
8aff426d-b8c0-43aa-ad26-835ef4de6129,1008838b-bf71-442f-a6e8-3de016146f89,0.581871
37e624be-b125-464f-85b6-1838530193ef,4273fd28-5992-43a0-bd98-66cf6b650f54,0.413392
37e624be-b125-464f-85b6-1838530193ef,75a6811c-6d0b-4122-85d0-260989db9672,0.413392
37e624be-b125-464f-85b6-1838530193ef,ff41f06c-3b42-4ca1-837e-6b6fa5c7e16b,0.413392
b8257184-6307-46ab-b06e-d979336d1263,41dce460-7b73-4340-aa02-c10a79198432,0.463333
b8257184-6307-46ab-b06e-d979336d1263,1d54d3de-d0b3-4273-89e9-7ef3e8febb0d,0.46
b8257184-6307-46ab-b06e-d979336d1263,e5c22e58-7870-4db5-98ea-aede48914170,0.46
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.5
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.5
63140d1f-dda8-40fe-8931-bcaba65d5772,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.46
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.5
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.5
11cffc57-44be-4d79-bfd5-97482be566d3,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.46
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.5
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,0.5
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.46
973d80a1-f1b8-461b-bb25-7d8852968b1c,a0e91fd1-b00b-4ff7-8633-62657662b03b,0.46
973d80a1-f1b8-461b-bb25-7d8852968b1c,8ded8ec2-f221-4c6d-aadb-fa8294388127,0.46
973d80a1-f1b8-461b-bb25-7d8852968b1c,427971fd-2d3e-4b1c-a146-764aae84a056,0.46
8fe87807-dae8-4341-94fd-2ab91f176464,a0e91fd1-b00b-4ff7-8633-62657662b03b,0.46
8fe87807-dae8-4341-94fd-2ab91f176464,1982a20f-640e-4caa-b9e7-3ca15d7e1acb,0.46
8fe87807-dae8-4341-94fd-2ab91f176464,a17358c1-aece-44b4-bd08-696a32857e28,0.46
c18a7f01-1cb6-4987-a2cc-93251d3719b9,0777b4fd-292a-439b-848f-d772ee28c3b8,0.46
c18a7f01-1cb6-4987-a2cc-93251d3719b9,ada2d439-02d7-4b2d-b1fb-3aeae9a73334,0.46
c18a7f01-1cb6-4987-a2cc-93251d3719b9,804a4304-48b2-4a76-917e-91ab96f4a6e1,0.447555
0777b4fd-292a-439b-848f-d772ee28c3b8,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.46
0777b4fd-292a-439b-848f-d772ee28c3b8,ada2d439-02d7-4b2d-b1fb-3aeae9a73334,0.46
0777b4fd-292a-439b-848f-d772ee28c3b8,804a4304-48b2-4a76-917e-91ab96f4a6e1,0.447555
a0e91fd1-b00b-4ff7-8633-62657662b03b,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.46
a0e91fd1-b00b-4ff7-8633-62657662b03b,8fe87807-dae8-4341-94fd-2ab91f176464,0.46
a0e91fd1-b00b-4ff7-8633-62657662b03b,63078462-b3a8-463c-8c44-301ec9d0d024,0.46
84be5122-71d5-4a35-a912-fd2911e3c64f,0f595b0b-2253-4585-a672-fda592da7191,0.543333
84be5122-71d5-4a35-a912-fd2911e3c64f,4d565122-229a-4541-8a53-3b18169c3635,0.5
84be5122-71d5-4a35-a912-fd2911e3c64f,a3958665-7b55-4b85-9e84-8856638defd5,0.5
0f595b0b-2253-4585-a672-fda592da7191,84be5122-71d5-4a35-a912-fd2911e3c64f,0.543333
0f595b0b-2253-4585-a672-fda592da7191,7e07b5ca-e434-4611-b567-dc4aafaca75e,0.493034
0f595b0b-2253-4585-a672-fda592da7191,eda0256a-dce3-4a1a-8b42-937f944c9fc9,0.463259
920dcf5c-136f-4ffc-9449-03f00c1b5a46,efd27152-cf84-4017-86d6-6b97d83fb3a2,0.476667
920dcf5c-136f-4ffc-9449-03f00c1b5a46,b48a1279-3852-4482-902f-203558c37a33,0.46
920dcf5c-136f-4ffc-9449-03f00c1b5a46,e5067fef-17ee-4539-8719-0f3070b72b90,0.46
